folder,album_artist,album,current_genre,tracks,new_genre,
Y:\Lee Scratch Perry\Miles Davis\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD01,Miles Davis,The Complete Miles Davis At Montreux (CD 1),Fusion,2,Jazz,
Y:\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD01,Miles Davis,The Complete Miles Davis At Montreux (CD 1),Fusion,2,Jazz,
Y:\Lee Scratch Perry\Miles Davis\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD10,Miles Davis,The Complete Miles Davis At Montreux (CD 10),Jazz,8,Jazz,
Y:\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD10,Miles Davis,The Complete Miles Davis At Montreux (CD 10),Jazz,8,Jazz,
Y:\Lee Scratch Perry\Miles Davis\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD11,Miles Davis,The Complete Miles Davis At Montreux (CD 11),Jazz,7,Jazz,
Y:\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD11,Miles Davis,The Complete Miles Davis At Montreux (CD 11),Jazz,7,Jazz,
Y:\Lee Scratch Perry\Miles Davis\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD13,Miles Davis,The Complete Miles Davis At Montreux (CD 13),Jazz,9,Jazz,
Y:\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD13,Miles Davis,The Complete Miles Davis At Montreux (CD 13),Jazz,9,Jazz,
Y:\Lee Scratch Perry\Miles Davis\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD14,Miles Davis,The Complete Miles Davis At Montreux (CD 14),Jazz,8,Jazz,
Y:\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD14,Miles Davis,The Complete Miles Davis At Montreux (CD 14),Jazz,8,Jazz,
Y:\Lee Scratch Perry\Miles Davis\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD15,Miles Davis,The Complete Miles Davis At Montreux (CD 15),Jazz,7,Jazz,
Y:\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD15,Miles Davis,The Complete Miles Davis At Montreux (CD 15),Jazz,7,Jazz,
Y:\Lee Scratch Perry\Miles Davis\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD16,Miles Davis,The Complete Miles Davis At Montreux (CD 16),Jazz,7,Jazz,
Y:\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD16,Miles Davis,The Complete Miles Davis At Montreux (CD 16),Jazz,7,Jazz,
Y:\Lee Scratch Perry\Miles Davis\Miles Davis - Full Discography Mp3 320 kbps Pack 2\2 Live albums\2002 The Complete Miles Davis At Montreux 1973-1991 (20 CD Box Set) @320\CD17,Miles Davis,The Complete Miles Davis At Montreux (CD 17),Jazz,7,Jazz,
